scene_id,miou,mrecall,mprecision,mf1score,fmiou
room0,27.294602997742757,39.2974151764065,31.086919132782064,31.803987975635113,49.90602516312567
room1,19.266356998368313,35.889726975246475,22.794102132320404,24.096883747893187,36.62518954964956
room2,25.431361887603998,32.92195899412036,29.89948760950938,29.60300272460027,69.32045238575992
office0,16.79728463292122,27.652490735054013,17.58302792906761,20.842092453857,23.128854283883815
office1,22.774686015004086,32.67186852172017,23.818445963681572,24.319984749782375,55.83338946228969
office2,18.352068215608597,34.84839601442218,28.312495909631252,23.915085484412586,34.273096426722795
office3,26.73379718658647,31.330956576303358,37.18828864040829,30.781356833382628,47.928179784349496
office4,56.24423325061798,57.388784885406494,58.75578820705414,58.039597922538235,91.33152418246445
all,24.504909634023257,36.991248850751184,35.032345028594136,30.797014883959267,47.23362964307161
