frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756942901.4900532,14.96392,61.542136,28.185474,35.080518,197.85785900000002,198.614216,0.0,303.305746,20369420544748,20368904443796
10,1756942901.8195713,16.184205,62.74205,28.237585,38.28033,240.122679,241.088226,0.0,348.252066,20369750063332,20369253189577
15,1756942902.1470025,15.306193,62.776273,30.378348,43.623709,212.262383,213.037107,0.0,321.497921,20370077493993,20369599713842
20,1756942902.487073,14.975337,62.084285,28.428706,33.657742,228.645071,229.39635,0.0,334.884678,20370417565121,20369947059382
25,1756942902.869524,16.029258,63.760027,35.08269,53.719045,258.438444,259.674945,0.0,374.54692,20370800014845,20370293776122
30,1756942903.2442608,15.925009,64.353074,35.445916,49.784298,251.903492,252.913937,0.0,368.637936,20371174752377,20370640366267
35,1756942903.619978,16.763581,63.656569,29.671336,43.213642,258.534552,259.348026,0.0,369.439512,20371550469327,20370985944075
40,1756942903.9810863,15.593402,62.890137,30.364877,42.933814,244.50881600000002,245.30292,0.0,354.151336,20371911577720,20371331784294
45,1756942904.3439481,15.874152,65.924957,30.044277,34.667706,244.326047,245.813932,0.0,357.657318,20372274439434,20371677775494
50,1756942904.706898,15.767728,62.62395,30.389965,40.019358,248.69669900000002,249.466777,0.0,358.24842,20372637390445,20372023363077
55,1756942905.0958278,16.065634,65.849642,30.493684,38.624846,270.635493,271.358458,0.0,383.767418,20373026319876,20372370196023
60,1756942905.4910815,16.068538,65.701806,29.67342,36.512967,277.098806,277.91915,0.0,389.362914,20373421573537,20372716643460
65,1756942905.8748267,15.483163,63.686715,29.611576,40.141124,267.266572,268.025322,0.0,376.806776,20373805317849,20373062792702
70,1756942906.2453997,16.028568,63.117354,30.56966,39.380281,253.567707,254.329672,0.0,364.045254,20374175889903,20373408272450
75,1756942906.6158388,15.338932,62.568235,29.477631,37.27317,256.553262,257.409811,0.0,364.794609,20374546330685,20373766329668
80,1756942906.988732,15.728158,63.371683,27.701144,33.320857,260.085873,260.88786,0.0,367.688845,20374919224137,20374149361712
85,1756942907.330788,16.310228,62.687187,25.246551,34.292993,230.520989,231.271657,0.0,335.515623,20375261279179,20374519339616
90,1756942907.6708574,15.525078,64.336147,25.243447,28.870091,227.97909199999998,228.758955,0.0,333.863627,20375601346461,20374889643159
95,1756942908.0278773,16.685111,64.960022,26.206849,37.515169,242.872584,243.650123,0.0,351.502105,20375958368967,20375264708742
100,1756942908.3919835,15.466999,66.245307,26.744331,40.466592,247.984351,248.699644,0.0,357.156281,20376322474252,20375609901111
105,1756942908.7595258,16.063551,64.084253,27.583514,35.188543,251.526136,252.236922,0.0,359.96824,20376690017685,20375955791195
110,1756942909.1331203,15.536805,65.434948,29.690135,39.91534,253.698467,254.482085,0.0,365.143973,20377063612149,20376304091255
115,1756942909.522325,15.480018,63.747328,29.768746,39.001402,274.084156,274.914535,0.0,383.910627,20377452816390,20376668542780
120,1756942909.916037,15.42877,64.380395,32.540263,45.806947,274.092619,274.912022,0.0,387.26145,20377846529074,20377037962031
125,1756942910.3217664,15.739536,67.335524,32.1202,45.641574,283.489107,284.393159,0.0,399.588419,20378252253925,20377408567795
130,1756942910.7308505,16.639031,64.937267,33.717342,41.952454,285.715129,286.553261,0.0,401.846901,20378661342298,20377798291631
135,1756942911.1332588,16.375859,63.516464,32.581366,41.220345,282.539153,283.389914,0.0,395.863603,20379063750768,20378192134774
140,1756942911.5201602,16.279871,62.771356,33.286144,49.560546,266.81822700000004,267.639402,0.0,379.976773,20379450651096,20378598392880
145,1756942911.8972588,16.776351,63.522674,33.223398,45.654955,256.14468800000003,257.063572,0.0,370.585995,20379827750599,20379008391595
150,1756942912.257483,15.644109,63.354557,31.194585,41.596189,242.97796499999998,243.818551,0.0,354.011802,20380187974490,20379410970946
155,1756942912.605862,16.816763,63.847901,33.053368,46.35765,226.492719,227.296899,0.0,341.014931,20380536351568,20379796473037
160,1756942912.958156,15.619031,64.484445,31.122956,41.739709,233.385749,234.194396,0.0,345.420828,20380888646636,20380172924009
165,1756942913.3066373,19.506294,65.621293,28.925917,37.30617,226.36285099999998,227.177196,0.0,341.2307,20381237128173,20380534210143
170,1756942913.6563675,15.355077,64.256447,31.791157,43.700597,229.967814,230.737841,0.0,342.140522,20381586859380,20380882799686
175,1756942913.997093,15.234052,62.846881,27.603435,33.124817,227.25586800000002,228.037422,0.0,333.72179,20381927583817,20381235371797
180,1756942914.3413029,15.467249,64.081849,29.878924,36.312601,227.335048,228.119427,0.0,337.547449,20382271794424,20381583660760
185,1756942914.697684,15.523505,63.315307,28.925696,34.694267,241.637236,242.430669,0.0,350.195177,20382628175420,20381933189618
190,1756942915.0522068,18.420524,64.3768,30.342934,36.9528,233.093974,233.905474,0.0,347.045732,20382982697102,20382279317987
195,1756942915.3949356,17.62635,64.750922,30.341461,36.901331,219.368738,220.197185,0.0,332.915918,20383325426895,20382625721197
200,1756942915.744585,15.409601,64.61864,27.133816,30.781744,234.503989,235.338936,0.0,342.500993,20383675076017,20382975736329
205,1756942916.1003518,16.771092,62.953684,29.64714,38.197603,236.717924,237.502353,0.0,346.874269,20384030843364,20383330748591
210,1756942916.45249,15.591028,68.135507,27.605618,33.102833,233.12156500000003,233.921018,0.0,345.253171,20384382982133,20383677428514
215,1756942916.7918224,15.598209,64.925279,28.316956,33.583528,222.619218,223.416697,0.0,332.257141,20384722314741,20384024524252
220,1756942917.150103,15.404964,66.314723,28.644407,33.91796,239.511395,240.287391,0.0,350.651485,20385080593859,20384376375682
225,1756942917.527991,15.691392,64.441328,28.55523,32.430244,261.521968,262.319869,0.0,371.007819,20385458482118,20384728750171
230,1756942917.891579,15.554513,64.202423,28.542491,36.138415,247.410453,248.220221,0.0,356.519648,20385822069531,20385075742050
235,1756942918.2748928,15.59901,64.078675,29.115276,36.42998,267.491025,268.348857,0.0,377.141818,20386205384678,20385428110621
240,1756942918.6627395,16.112876,63.326093,30.289412,41.377245,270.558646,271.393612,0.0,381.121993,20386593230902,20385804412144
245,1756942919.0752068,15.525338,64.48783,31.070856,38.77761,292.824209,293.681129,0.0,404.765153,20387005698542,20386167415574
250,1756942919.4860923,15.439117,63.92594,29.6801,37.162931,293.586274,294.441201,0.0,403.486358,20387416584583,20386551475980
255,1756942919.8931346,15.862133,64.07618,30.476918,39.869288,287.461549,288.31225,0.0,398.727481,20387823626417,20386939542882
260,1756942920.3043973,15.757433,65.178676,31.415834,40.104118,290.54959099999996,291.375824,0.0,403.727767,20388234889224,20387351662109
265,1756942920.711734,15.549465,63.518998,29.716185,37.326631,290.062927,291.057027,0.0,399.841675,20388642225639,20387764010496
270,1756942921.1503024,15.986042,68.542659,31.40671,38.670816,313.078717,313.838619,0.0,429.77403,20389080793244,20388169858795
275,1756942921.579704,15.743741,63.842684,30.365067,41.511861,310.945647,311.775535,0.0,421.727027,20389510195276,20388581039136
280,1756942921.979895,15.586903,63.609596,29.719501,39.780613,282.872933,283.679056,0.0,392.595056,20389910386656,20388989621746
285,1756942922.3796809,15.776262,64.323849,30.368222,40.521155,280.72506,281.569871,0.0,392.038204,20390310172515,20389427105304
290,1756942922.7798736,15.289187,63.41558,31.800141,40.26889,281.373612,282.201417,0.0,392.706325,20390710364626,20389856533045
295,1756942923.1744092,15.195403,63.48087,28.88867,36.612118,278.931467,279.707143,0.0,387.272086,20391104898095,20390256643521
300,1756942923.6013632,15.739495,63.490084,32.584942,40.457047,307.306352,308.071301,0.0,419.885822,20391531852745,20390655806929
305,1756942924.0428889,16.18116,64.454379,33.23175,44.620793,319.010287,319.849199,0.0,433.716488,20391973380236,20391056150882
310,1756942924.4770267,15.781048,65.546559,35.984018,55.530494,309.151362,310.014342,0.0,427.325967,20392407518169,20391451026765
315,1756942924.9150848,17.749068,64.941323,35.891857,52.412057,311.239265,312.063796,0.0,430.646044,20392845575304,20391878534039
320,1756942925.3392026,15.531818,64.430863,33.933923,44.192599,301.75721699999997,302.568167,0.0,416.464771,20393269693797,20392319328590
325,1756942925.7631269,16.189954,63.702579,36.694445,55.199339,298.471673,299.270124,0.0,415.857102,20393693618364,20392754167384
330,1756942926.1626918,15.637689,66.206358,35.506317,54.691391,271.152613,271.960609,0.0,389.310973,20394093182705,20393191647367
335,1756942926.561239,15.485668,64.218678,36.239779,49.04616,275.21842,276.012064,0.0,391.956189,20394491729880,20393616335711
340,1756942926.981251,15.746876,64.740486,34.643329,47.708474,296.961195,297.732423,0.0,412.863114,20394911742906,20394043036413
345,1756942927.4016492,16.100707,64.754297,34.720136,47.960339,295.930589,296.745775,0.0,412.320915,20395332140671,20394439017995
350,1756942927.8150568,15.170025,64.645881,37.06402,49.982752,289.295824,290.164401,0.0,407.044327,20395745548137,20394837535035
355,1756942928.2207434,17.415657,64.506338,37.30578,49.817058,276.376229,277.188592,0.0,396.416367,20396151235370,20395258689316
360,1756942928.6090393,15.521011,65.216524,34.601134,46.761797,264.514864,265.289589,0.0,380.628258,20396539531602,20395677906004
365,1756942929.0107334,15.534172,69.274047,33.396633,42.80661,274.986466,275.76831,0.0,393.973162,20396941225258,20396093161536
370,1756942929.4236755,15.501191,65.098314,31.884139,39.969722,291.644365,292.521626,0.0,405.00527,20397354166832,20396496720825
375,1756942929.8279831,15.57884,64.402769,34.095512,43.468161,282.809106,283.622369,0.0,397.69949,20397758475346,20396885940009
380,1756942930.2329483,17.540199,66.626279,33.529996,39.367411,276.633874,277.473248,0.0,395.169722,20398163439964,20397287257790
385,1756942930.6083558,15.549024,64.311911,33.524929,45.872577,253.228778,254.239163,0.0,367.625027,20398538847890,20397698726803
390,1756942930.9788024,15.349068,64.593641,33.280766,42.121101,248.663559,249.443991,0.0,362.667466,20398909294000,20398106374573
395,1756942931.3691483,15.643419,66.646159,32.628118,39.304095,265.847082,266.671231,0.0,381.588927,20399299640176,20398509020035
400,1756942931.7438567,15.760087,63.477965,31.018597,36.945118,256.998001,257.778895,0.0,368.035544,20399674348313,20398884260575
405,1756942932.1207306,16.013864,64.321255,31.20413,39.575419,255.761572,256.588516,0.0,368.127765,20400051221600,20399257102538
410,1756942932.4658403,16.301685,63.717211,29.700051,38.067153,226.657301,227.455672,0.0,337.174619,20400396331431,20399644541569
415,1756942932.8117115,15.493829,64.251359,29.113002,33.637991,229.18142,229.936345,0.0,338.794535,20400742202126,20400020829511
420,1756942933.1437888,15.364843,64.057291,27.77013,31.991264,217.256417,218.042389,0.0,325.234653,20401074280853,20400396663469
