scene_id,miou,mrecall,mprecision,mf1score,fmiou
room0,28.618712431710698,42.00808626154195,33.33259565026864,33.90512934039884,56.12828685715227
room1,20.368810076462594,32.726505457570674,24.65355047269871,24.891963402537858,41.83251078682965
room2,29.6777602750808,39.849481359124184,37.16720473021269,35.08805875962426,70.28528470858734
office0,16.765703845740063,28.829064524907157,19.456930849701166,20.979847283393564,24.098679033572303
office1,22.71968962960374,32.71233437381953,23.787936789712045,24.29702586554962,56.053765228846956
office2,24.627091735601425,44.27471673116088,33.17007767036557,30.637071541949425,32.21268590525959
office3,24.049294278735207,30.624553561210632,31.557198223613558,28.766292477565454,45.02973082994994
office4,57.88945734500886,58.951064348220825,58.92666757106782,58.91542316714078,93.95679030389893
all,25.45238578823441,37.632103061894114,34.585163650792865,31.59555991907796,48.09307826824454
