scene_id,miou,mrecall,mprecision,mf1score,fmiou
room0,23.669381108661387,40.612894047112405,25.146348855417706,27.433895430172832,41.01612807872965
room1,20.75910072185491,36.42684589875372,23.740960108606437,25.75801686959169,38.27768504698343
room2,27.343430183827877,37.29230370372534,32.19158202409744,31.927757734716973,69.81296449090493
office0,16.576826563104987,27.956687929108735,17.641080357134342,20.65468141330806,24.267052602326903
office1,23.260586295388443,33.181296226939594,23.899745816950396,24.780674126657747,57.18254236150215
office2,19.745391607284546,35.91418731957674,28.689988888800144,25.386576578483467,36.91206729882048
office3,22.024808043525333,26.55859277361915,31.921554179418653,25.99023280611127,47.87460519175391
office4,53.473108410835266,56.04378402233123,56.727694272995,56.15543126902873,89.95568997328466
all,23.559975536219376,37.185156094338986,31.949972682213744,29.461496256170744,46.19488935794617
