frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756943899.5688212,15.00666,59.094516,20.334777,27.026849,83.062264,83.771627,0.0,178.20758,21367499312778,21367233692421
10,1756943899.8834696,15.285506,59.541649,20.299013,22.384448,114.952218,115.658317,0.0,210.784485,21367813961707,21367580649064
15,1756943900.230072,15.270733,60.189919,25.42341,36.702307,110.52800200000001,111.248603,0.0,212.132665,21368160564501,21367926700085
20,1756943900.583188,15.152072,60.749124,26.135027,40.834627,115.66820200000001,116.400861,0.0,218.437084,21368513680523,21368272370845
25,1756943900.9457715,15.035955,62.169783,29.632999,48.604655,128.842513,129.58651,0.0,236.425247,21368876263884,21368618381605
30,1756943901.3041742,16.367438,61.409632,28.564968,45.74653,139.799569,140.571088,0.0,246.913126,21369234665879,21368964329628
35,1756943901.6505563,15.171462,61.808752,28.260252,34.818229,137.53542099999999,138.354623,0.0,243.595089,21369581048066,21369310382473
40,1756943902.0207064,15.825401,62.088068,28.31768,35.542625,159.911216,160.705199,0.0,266.936348,21369951198195,21369656512696
45,1756943902.3551564,15.251704,62.130844,29.783449,39.228494,150.512442,151.264901,0.0,258.430898,21370285648580,21370002861151
50,1756943902.7043297,15.445901,62.35751,28.264609,35.537617,156.676386,157.494255,0.0,263.562275,21370634820669,21370348909850
55,1756943903.0218232,15.49777,61.432588,28.532829,33.41141,127.68738100000002,128.458268,0.0,233.921455,21370952315466,21370695117812
60,1756943903.3638098,15.414844,62.721636,26.218194,31.038746,125.87813700000001,126.601833,0.0,230.956507,21371294302222,21371041176887
65,1756943903.7155907,15.277143,61.868814,27.91792,41.85762,129.459737,130.239498,0.0,235.303375,21371646083197,21371388136007
70,1756943904.0876675,15.201768,61.524438,26.263443,29.438642,156.633371,157.382986,0.0,260.372635,21372018160571,21371733858468
75,1756943904.4350135,15.153324,61.327617,26.90322,36.504304,158.814232,159.553671,0.0,262.937832,21372365506482,21372080020070
80,1756943904.7689216,15.230893,61.761049,28.379716,33.391209,144.38314,145.136921,0.0,250.508579,21372699414349,21372424869649
85,1756943905.1076477,15.802225,63.734333,27.449725,32.760776,131.534356,132.241717,0.0,239.228,21373038140395,21372770408591
90,1756943905.4637597,15.936911,67.541688,27.51827,34.170179,143.432269,145.138735,0.0,256.135604,21373394251705,21373116011110
95,1756943905.8037133,15.280278,64.084448,26.874997,31.766158,139.282651,140.072937,0.0,246.31266,21373734205707,21373463896506
100,1756943906.1589,15.299938,62.439436,23.710084,35.12048,148.12082900000001,148.873218,0.0,250.322676,21374089392155,21373809075158
105,1756943906.4805362,15.3542,63.929532,23.792479,32.752544,127.690586,128.420381,0.0,231.496592,21374411029041,21374154845804
110,1756943906.8052406,14.955552,65.534763,23.032028,25.426044,107.03495699999999,107.80926,0.0,211.331603,21374735732942,21374501112769
115,1756943907.1491606,15.169239,61.807851,22.971485,24.82731,109.22851800000001,110.004994,0.0,209.953569,21375079653023,21374846666624
120,1756943907.5276787,14.924776,62.26599,25.117123,27.726587,138.732021,139.472281,0.0,241.78017,21375458171076,21375192666552
125,1756943907.8866334,17.027446,64.627598,25.872967,29.733834,144.26045399999998,145.075078,0.0,252.603089,21375817125280,21375537642716
130,1756943908.22069,15.279377,62.878797,26.144261,30.816898,139.294319,140.074451,0.0,244.376886,21376151182207,21375882923956
135,1756943908.574296,15.026331,61.974676,28.447829,33.313561,144.843635,145.618959,0.0,251.067795,21376504788793,21376228465083
140,1756943908.9082706,15.028103,61.979223,27.081853,29.362126,128.381321,129.140341,0.0,233.22952,21376838761892,21376578999407
145,1756943909.2808385,15.210792,63.62062,28.310941,34.156599,150.436558,151.194655,0.0,258.337008,21377211330340,21376928251552
150,1756943909.6402092,15.151892,61.880062,29.560518,38.618314,160.384262,161.161208,0.0,267.75368,21377570701101,21377275509543
155,1756943909.9620986,14.951395,62.697661,28.373756,32.371382,140.320877,141.101961,0.0,247.124773,21377892590474,21377621617327
160,1756943910.2899358,15.034904,63.566087,26.83763,31.478879,122.515462,123.290947,0.0,228.729568,21378220428084,21377967656706
165,1756943910.6507528,15.100172,63.016729,28.536845,31.502124,135.073935,135.951224,0.0,242.60497,21378581244653,21378313232077
170,1756943910.9737504,15.101806,62.33714,28.166149,33.926087,114.225461,114.996159,0.0,220.601254,21378904242541,21378659657196
