frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756943184.9903674,15.251148,64.110702,26.895673,37.266779,122.669756,123.407704,0.0,229.665227,20652920857351,20652561069553
10,1756943185.2578123,16.441198,62.159369,28.683245,38.891734,148.270119,149.10843,0.0,256.392242,20653188304566,20652908790141
15,1756943185.5907419,15.388608,62.430353,30.492281,42.850597,133.644756,134.495227,0.0,242.806469,20653521234300,20653255856940
20,1756943185.9441648,15.150074,60.887144,29.027922,40.088273,142.9873,143.691858,0.0,248.756998,20653874657177,20653602447130
25,1756943186.3202693,15.170935,61.72861,33.955587,58.356905,164.78003999999999,165.541124,0.0,276.396256,20654250760571,20653948575985
30,1756943186.659319,15.60499,66.593158,31.03486,43.719585,154.96848,155.621609,0.0,268.854617,20654589810793,20654295428987
35,1756943186.982576,15.529223,61.374559,29.614309,42.293435,139.130553,139.870425,0.0,246.388516,20654913068218,20654642976932
40,1756943187.3313,16.101529,61.646464,30.398348,39.037126,139.653143,140.456521,0.0,248.602862,20655261792211,20654987823285
45,1756943187.672781,15.510385,61.701478,28.197854,33.603598,140.738343,141.509381,0.0,246.919098,20655603273149,20655333038313
50,1756943188.0365367,15.215874,60.910159,29.579405,37.629483,157.815643,158.606021,0.0,264.311459,20655967028754,20655677885157
55,1756943188.3929684,15.155252,62.662267,30.723375,39.140905,167.123254,167.888463,0.0,276.429357,20656323461103,20656024160516
60,1756943188.7219381,15.271489,62.439307,29.646929,37.078992,152.395575,153.158913,0.0,260.516638,20656652430571,20656369528247
65,1756943189.0878217,15.204056,63.49396,28.972998,34.317199,172.233247,173.035864,0.0,280.706878,20657018314080,20656714479741
70,1756943189.4292028,15.639763,62.727908,30.443877,37.943424,166.14182399999999,166.961797,0.0,275.773345,20657359694795,20657059623921
75,1756943189.7475336,15.429992,63.047226,28.981962,34.116773,143.915039,144.731728,0.0,252.190908,20657678025237,20657404418505
80,1756943190.0910697,15.315657,62.165738,27.758111,32.998102,143.482628,144.279937,0.0,249.519443,20658021562079,20657749435410
85,1756943190.4066951,15.331241,62.056972,25.130573,34.383781,117.947376,118.756373,0.0,221.275159,20658337187686,20658094248974
90,1756943190.7567458,15.392094,62.843054,25.255274,29.237623,122.460096,123.297336,0.0,226.787758,20658687237855,20658438606049
95,1756943191.1119962,15.276167,63.275855,26.82194,35.130203,131.675566,132.413293,0.0,237.787255,20659042488397,20658783114346
100,1756943191.4596434,15.203435,61.580233,26.847999,33.965632,135.385698,136.124919,0.0,239.756586,20659390135513,20659127817591
105,1756943191.810112,15.112716,61.576828,27.525606,32.945543,140.834488,141.614271,0.0,245.829421,20659740604644,20659472910932
110,1756943192.1513505,15.100448,62.298702,30.281459,39.905093,133.24806,134.03915,0.0,241.719759,20660081842790,20659818093180
115,1756943192.5075028,15.345903,63.576165,29.638526,37.677698,141.042617,141.805514,0.0,250.366108,20660437995121,20660164008078
120,1756943192.859819,15.409621,61.86575,32.412337,44.787127,147.620314,148.324391,0.0,258.012099,20660790311526,20660510190995
125,1756943193.2184403,15.414107,62.207673,31.70842,45.038442,160.577766,161.340863,0.0,270.671063,20661148932130,20660856064058
