frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756944371.2901757,15.084598,60.733436,22.321024,30.042042,149.593927,150.321139,0.0,248.460197,21839220666553,21838841884416
10,1756944371.5507617,16.444977,61.025261,23.550053,30.173593,165.473058,166.275064,0.0,267.295355,21839481252807,21839188925455
15,1756944371.9008367,16.570208,66.197845,25.385577,37.830642,161.853709,162.605888,0.0,270.759518,21839831328864,21839534780834
20,1756944372.2274656,15.873113,63.15764,25.120562,28.912496,147.865717,148.595101,0.0,252.746416,21840157957946,21839880917821
25,1756944372.5889258,15.669081,62.294611,27.070221,39.273636,165.12220299999998,165.869815,0.0,270.903728,21840519415903,21840227023442
30,1756944372.9639575,15.950301,61.494859,26.960263,32.628704,192.090969,192.897521,0.0,297.302944,21840894449573,21840572358715
35,1756944373.297025,15.311675,61.545696,26.849404,33.124441,180.967443,181.753505,0.0,285.46028,21841227516963,21840919937096
40,1756944373.6278794,15.227426,61.983005,27.474709,38.172174,165.27091000000001,166.011111,0.0,270.696251,21841558371160,21841265701996
45,1756944373.9814672,15.68147,62.978616,26.177156,37.099515,172.65978,173.462587,0.0,278.299829,21841911959424,21841611391551
50,1756944374.3249187,15.283342,62.11093,26.168203,31.147621,171.267973,172.022847,0.0,275.585322,21842255409567,21841957671058
55,1756944374.674646,15.322131,62.213317,23.760034,26.185899,177.105843,177.873335,0.0,279.168817,21842605138024,21842303869771
60,1756944374.9964828,15.251904,61.493287,23.24756,30.42049,151.695729,152.44304,0.0,252.435791,21842926974654,21842650816897
65,1756944375.3476522,15.139452,62.305107,21.895535,22.298941,157.652731,158.414074,0.0,257.754168,21843278143742,21842997629990
70,1756944375.6914628,15.05358,62.821536,22.988916,24.123008,153.755766,154.529758,0.0,255.39379,21843621954236,21843343679174
75,1756944376.0577786,15.170309,63.747962,26.310019,29.905383,162.875571,163.657676,0.0,268.885966,21843988270498,21843689915726
80,1756944376.40857,15.15742,62.447064,24.603111,31.550947,177.329145,178.094775,0.0,280.30237,21844339061618,21844036529163
85,1756944376.7426038,15.259426,63.064106,23.700443,26.082441,163.781224,164.579644,0.0,266.603619,21844673096076,21844382813688
90,1756944377.1107666,15.846312,64.90552,25.149376,27.376299,183.07779900000003,183.790378,0.0,289.691586,21845041257867,21844729506516
95,1756944377.443332,15.267608,63.590401,24.505372,30.998182,171.31181,172.01186,0.0,275.375241,21845373823782,21845075487548
100,1756944377.7871718,15.186483,64.037996,24.510499,27.357089,170.385185,171.132307,0.0,274.867285,21845717663331,21845421216995
105,1756944378.1278405,15.276531,62.687592,24.509889,26.776492,166.053517,166.86692,0.0,269.340932,21846058331525,21845767014446
110,1756944378.500675,15.277242,63.044327,23.702295,25.029363,193.29368699999998,194.114652,0.0,296.138516,21846431167028,21846112826739
115,1756944378.8334856,15.231823,62.453664,25.325746,27.251248,179.843457,180.602356,0.0,283.613589,21846763978157,21846458622087
120,1756944379.1994238,15.376425,62.687481,25.181455,27.535291,196.54357199999998,197.311707,0.0,300.557068,21847129915531,21846804127242
125,1756944379.5675435,16.044364,64.97043,26.403492,27.591157,215.40378900000002,216.179756,0.0,323.598042,21847498035199,21847150721701
130,1756944379.8926616,15.540575,62.818792,25.303252,28.96738,197.80089400000003,198.580224,0.0,302.242843,21847823152703,21847497861173
135,1756944380.2365212,15.24295,63.143358,24.813112,27.328977,196.40633300000002,197.211905,0.0,300.411325,21848167012584,21847844094090
140,1756944380.5844896,15.244843,62.890802,24.525423,26.198549,199.894554,200.693524,0.0,303.354592,21848514980873,21848189566965
145,1756944380.9152393,15.161506,63.113803,24.508758,26.508543,184.845449,185.645301,0.0,288.429368,21848845730322,21848534717218
150,1756944381.2683237,15.205463,64.286364,23.656045,24.943742,186.118064,186.885036,0.0,290.032908,21849198814568,21848883506491
155,1756944381.6118367,15.566214,63.510729,26.175795,29.01323,178.95063299999998,179.721812,0.0,284.97455,21849542327789,21849233357366
