scene,Baseline_Caption,Baseline_Detection,Baseline_Segmentation,Baseline_CLIP,Baseline_Mapping,Object-centric Parallelization_Caption,Object-centric Parallelization_Detection,Object-centric Parallelization_Segmentation,Object-centric Parallelization_CLIP,Object-centric Parallelization_Mapping,Object-centric SelectiveDownsampling_Caption,Object-centric SelectiveDownsampling_Detection,Object-centric SelectiveDownsampling_Segmentation,Object-centric SelectiveDownsampling_CLIP,Object-centric SelectiveDownsampling_Mapping
room0,15.662215105263167,66.2646944010025,86.05676188220555,351.2661894912281,225.00031361904757,15.803611606516299,67.1060181478696,36.6529804461153,47.88288070426063,240.93811131077692,15.54944233082708,66.72059413533835,36.79580540852131,47.18178896240602,144.65585861403505
room1,15.691565635678398,70.31841944974882,62.00466046984927,238.76177510050246,167.38088887939713,15.51540003266331,70.35190517839193,27.962843643216093,35.76662520603017,151.7983647462312,15.349360203517584,70.0388883768844,28.055838658291435,36.034944025125654,107.25567301005016
room2,15.722217661654133,66.94531259899748,64.22895327568916,246.58997780701742,160.88139611779442,15.515883734335834,66.3448918696742,28.228707634085243,35.48045186967418,157.33379767919803,15.354498937343363,65.99505964661654,28.301902977443604,34.91955965413534,108.6602208771931
office0,15.696439924812026,76.46483495238093,61.32086612531334,200.81858961654117,120.52872325563898,15.5894631027569,76.30333300250629,27.061524531328324,39.08243043358398,125.10051502005015,15.32615647619047,75.41028440350877,27.047015238095227,37.09770704260652,86.70848739599002
office1,15.59886045614035,77.22972810275684,55.36852462656642,172.9896644837093,95.30600203258142,15.489637323308266,77.4301526390977,25.256319844611518,32.80022657393486,94.70943382456133,15.356515493734344,77.68060901754389,25.28855506766917,31.930918784461127,82.45214318796985
office2,15.588749934837088,71.7938070225564,61.67896225062658,249.5333061378448,183.74081062656649,15.52941056390977,71.58675121052629,27.596024137844612,33.473802992481176,175.50588448621556,15.42854842606517,71.34692910526313,27.48025359899749,33.21450579197993,106.2413428120301
office3,15.77855742857143,68.61257467418548,71.86512521052639,315.34618230075216,226.17251316040125,15.627858731829567,68.06203637092733,31.202189621553856,44.01928259899754,210.07139373684225,15.411530250626557,68.05300567669167,31.253630476190484,43.36426211779451,118.17548756641602
office4,15.720007852130337,73.01201886215541,60.16489334586468,243.10195409774443,174.37399456390975,15.645348378446124,72.60003414786964,26.68146576942357,36.43429972431076,182.86981804761902,15.315082105263162,72.15272822556393,26.759423766917287,35.7303589899749,104.35978755388471
