frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756947123.4681573,15.062284,60.781279,25.369289,34.750259,200.138699,200.949919,0.0,302.162771,24591398648955,24590924977308
10,1756947123.7754424,15.858371,60.545679,23.746699,34.204335,216.551939,217.440997,0.0,317.591746,24591705934176,24591272106805
15,1756947124.1109633,15.388342,61.113537,23.081713,24.715951,229.56748299999998,230.340955,0.0,329.924547,24592041451312,24591617435839
20,1756947124.4501002,16.196557,61.385954,23.684674,25.667765,230.737151,231.502241,0.0,332.769426,24592380590795,24591963490492
25,1756947124.7930348,15.120523,61.421187,23.646045,26.458404,234.12865499999998,234.91699,0.0,335.104745,24592723525138,24592309860017
30,1756947125.1392355,16.905551,61.04321,25.020606,33.269295,235.5113,236.263729,0.0,339.233096,24593069726446,24592655559718
35,1756947125.4543154,16.383143,59.242367,22.947326,25.836794,207.20524999999998,207.97654,0.0,306.549376,24593384806993,24593001342255
40,1756947125.8121998,15.214457,60.087258,23.932443,27.131774,250.06618699999999,250.840751,0.0,350.074909,24593742691279,24593347233799
45,1756947126.1378424,15.265895,60.384473,23.76066,29.462807,218.174778,219.014161,0.0,318.425189,24594068334271,24593692524374
50,1756947126.4722407,15.790987,59.828724,23.687418,30.225613,226.022574,226.856809,0.0,326.163938,24594402732697,24594038117382
55,1756947126.8117545,15.74055,62.081127,23.333657,30.250921,231.293641,232.049427,0.0,333.204761,24594742246432,24594384329967
60,1756947127.1657038,15.276562,61.305641,24.529415,31.006235,240.847406,241.624954,0.0,342.736572,24595096195022,24594729647303
65,1756947127.5476356,15.299867,60.284841,24.403773,30.065097,274.838583,275.586757,0.0,375.575238,24595478126916,24595075387766
70,1756947127.893026,15.292495,61.019174,26.197254,39.067868,235.805499,236.588015,0.0,339.096938,24595823517574,24595420593752
75,1756947128.2615595,15.123196,60.280124,23.9502,28.477821,257.850145,258.675206,0.0,358.028726,24596192050768,24595766456893
80,1756947128.6023781,16.074191,60.793157,24.144727,30.782594,232.488798,233.267449,0.0,334.279524,24596532870519,24596111817956
85,1756947128.968902,15.894526,61.48825,26.972299,42.305898,252.60144300000002,253.329255,0.0,357.68433,24596899391117,24596457501321
90,1756947129.303225,15.435084,60.431795,24.45461,32.295907,227.01873700000002,227.809687,0.0,328.131176,24597233717001,24596803050522
95,1756947129.671118,15.078198,61.175643,25.373695,32.500029,254.634138,255.43264,0.0,357.060176,24597601610427,24597148577509
100,1756947130.003845,15.206855,61.074037,26.120377,33.795358,222.005474,222.795221,0.0,325.19649,24597934335415,24597493672194
105,1756947130.3480985,15.546475,62.046283,23.651372,26.257477,233.72171300000002,234.481966,0.0,335.726096,24598278589415,24597838925072
110,1756947130.693935,15.077147,60.274184,22.913124,25.590808,238.732682,239.500356,0.0,337.764811,24598624426486,24598184037305
115,1756947131.0436552,16.291973,61.163434,23.853702,29.538793,240.652828,241.454223,0.0,342.763332,24598974147423,24598529442905
120,1756947131.3914616,15.182518,60.75571,23.018476,25.725203,241.679045,242.489014,0.0,341.445718,24599321953754,24598874218233
125,1756947131.7490623,15.819802,60.680505,21.798141,31.351834,249.552652,250.36287,0.0,348.661318,24599679554056,24599219629252
130,1756947132.067225,15.243421,61.791684,23.439299,25.426847,209.606751,210.401275,0.0,310.875679,24599997716744,24599563901301
135,1756947132.414403,15.218824,61.198907,21.719981,26.70453,240.586486,241.407,0.0,339.544712,24600344894674,24599909282625
140,1756947132.7613394,15.141115,61.223865,21.723687,25.851165,239.719121,240.515338,0.0,338.604005,24600691831305,24600254661635
145,1756947133.1310575,15.305255,62.244406,22.562398,31.795852,258.107519,258.936426,0.0,359.048485,24601061547497,24600601256824
150,1756947133.506547,15.165482,63.744779,22.480794,27.699611,266.762769,267.529611,0.0,368.920666,24601437037664,24600946265438
155,1756947133.8361301,15.058158,61.608834,22.827944,28.680751,221.838008,222.639453,0.0,322.134389,24601766621250,24601291964147
160,1756947134.2090912,15.102255,62.474948,22.23587,30.666396,265.39759200000003,266.137533,0.0,365.950606,24602139582542,24601636650269
165,1756947134.5978727,15.186114,63.410608,22.413481,27.552596,278.331321,279.14801,0.0,380.158213,24602528364477,24601981579912
170,1756947134.9235747,15.212023,61.393655,22.403546,26.549894,219.071479,219.911052,0.0,318.920276,24602854065749,24602326575897
175,1756947135.3273792,15.07264,61.432374,23.057335,27.167698,296.446352,297.204311,0.0,396.76666,24603257870437,24602674979721
180,1756947135.6707146,16.358144,62.261502,21.808056,28.013532,232.78428000000002,233.695072,0.0,334.122774,24603601205112,24603020266039
185,1756947136.028226,15.257673,61.12853,23.835425,31.613373,249.222307,250.024503,0.0,350.246131,24603958716498,24603365882362
190,1756947136.392605,16.660097,62.10349,23.579343,31.041339,254.469808,255.515967,0.0,357.858897,24604323096923,24603711379683
195,1756947136.7731678,15.054171,62.31877,26.238628,34.764981,269.593105,270.430915,0.0,374.042484,24604703659013,24604057100225
200,1756947137.1799395,15.139532,65.667388,26.061487,35.070118,292.327256,293.104995,0.0,399.973402,24605110430737,24604402593961
205,1756947137.5515385,16.183337,63.938435,25.249766,32.793127,255.186193,255.978014,0.0,361.349552,24605482030618,24604748013563
210,1756947137.9341693,15.319337,62.045291,26.402789,35.30072,270.643321,271.441811,0.0,375.209228,24605864660530,24605093371822
215,1756947138.3093853,15.381972,62.200819,25.306714,33.491795,264.670751,265.440207,0.0,368.329712,24606239872832,24605459767628
220,1756947138.706552,15.877289,62.151584,27.784541,43.437488,283.768613,284.558821,0.0,390.372235,24606637043610,24605828406392
225,1756947139.1173482,17.175294,64.331296,24.592421,30.441412,296.608169,297.424057,0.0,403.523068,24607047840267,24606210030976
230,1756947139.5052736,16.430175,62.714694,25.701317,33.464123,272.111304,272.889915,0.0,377.736101,24607435764681,24606585447902
235,1756947139.888616,15.688661,61.679242,25.223416,29.246585,273.323017,274.060975,0.0,376.652294,24607819107772,24606982864176
240,1756947140.264913,15.215138,61.483623,25.28521,30.93714,264.404595,265.170124,0.0,367.154095,24608195405133,24607397117395
245,1756947140.6498396,15.296542,62.505525,25.356439,31.613193,274.475378,275.250793,0.0,378.409299,24608580331455,24607782525093
250,1756947141.0436478,15.330474,63.032139,25.29773,31.568926,282.28064,283.067071,0.0,386.727414,24608974139853,24608166994365
255,1756947141.439696,15.667539,62.881029,26.954332,33.590235,282.818301,283.623472,0.0,389.126372,24609370187374,24608540880531
260,1756947141.8075025,15.237371,63.334092,25.263377,30.384936,254.836609,255.660618,0.0,359.495458,24609737993886,24608927398856
265,1756947142.201005,15.529949,63.209421,27.698369,36.198091,280.131083,280.958498,0.0,387.396237,24610131496317,24609320705887
270,1756947142.5795755,15.294839,64.04628,24.552551,29.338636,266.589043,267.380002,0.0,371.273672,24610510066342,24609716052016
275,1756947142.971276,15.30848,64.116938,26.904245,34.028505,277.117527,277.927425,0.0,384.257088,24610901767579,24610082966966
280,1756947143.3763032,15.554526,63.173415,26.053886,35.574589,292.405375,293.170645,0.0,397.952472,24611306794897,24610477688440
285,1756947143.7730143,15.737406,63.746572,27.008774,37.590951,282.441726,283.231333,0.0,389.724085,24611703504629,24610855400804
290,1756947144.1478686,15.577101,65.772198,29.056726,46.818917,257.301066,258.084373,0.0,368.490398,24612078359526,24611247884808
295,1756947144.5435402,15.349853,66.121002,29.060391,38.9054,277.609059,278.407589,0.0,388.938835,24612474028288,24611653109376
300,1756947144.9540634,15.671515,64.4583,24.60473,32.768679,297.533995,298.571942,0.0,403.306487,24612884554350,24612050100149
305,1756947145.3335528,15.293969,68.580431,24.478266,30.807562,263.654447,264.465918,0.0,372.818584,24613264044602,24612424556806
310,1756947145.7329803,15.241027,63.520406,28.490891,43.517661,284.28368,285.053287,0.0,392.305611,24613663471899,24612820486076
315,1756947146.1193986,15.299346,65.372968,26.873799,36.263932,270.533833,271.327256,0.0,378.873369,24614049889089,24613231205374
320,1756947146.523072,15.563661,63.631516,27.700612,38.396322,289.36649,290.127654,0.0,397.023443,24614453563578,24613610711971
